X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
51,789349	-6,262389	1,634346	51,820179	-6,268019	1,657611	51,767155	-6,521135	1,692693	51,8489	-5,015465	-0,288915	52,060947	-7,513555	2,619567
51,792904	-6,253	1,630399	51,824627	-6,259891	1,654191	51,766682	-6,520222	1,68762	51,846992	-5,01736	-0,269274	52,047035	-7,628738	2,707095
51,795044	-6,250643	1,627557	51,825665	-6,253767	1,648836	51,762917	-6,527201	1,683569	51,84911	-5,015305	-0,289772	52,086239	-7,758472	2,866617
51,799618	-6,23935	1,62466	51,829891	-6,245325	1,645488	51,761543	-6,527364	1,678703	51,846745	-5,017549	-0,266211	52,057495	-7,925343	3,09891
51,80125	-6,23678	1,620845	51,830421	-6,242071	1,640593	51,758717	-6,536195	1,676967	51,848885	-5,015475	-0,288485	52,06839	-8,104011	3,337064
51,80632	-6,226902	1,618389	51,833885	-6,235468	1,636935	51,757568	-6,536108	1,672435	51,846413	-5,018016	-0,264646	52,06356	-8,294694	3,559629
51,807007	-6,224118	1,613603	51,834595	-6,23081	1,632056	51,753616	-6,54878	1,671609	51,848007	-5,015478	-0,286259	52,08366	-8,490468	3,797963
51,812576	-6,21574	1,613763	51,837662	-6,224473	1,628424	51,752293	-6,549022	1,667386	51,846275	-5,017106	-0,269506	52,095303	-8,655083	3,976338
51,812119	-6,211054	1,606035	51,8382	-6,220976	1,624206	51,746601	-6,569096	1,66824	51,848656	-5,01573	-0,287194	52,114155	-8,83043	4,243474
51,816936	-6,202931	1,606379	51,840034	-6,216503	1,620426	51,744701	-6,569977	1,664102	51,847534	-5,01755	-0,270575	51,982246	-9,026401	4,5873
51,815876	-6,197348	1,597818	51,840145	-6,214309	1,616586	51,736588	-6,595485	1,665191	51,849533	-5,015355	-0,28877	51,963276	-9,208941	4,824115
51,820328	-6,189729	1,598075	51,842102	-6,210145	1,61349	51,734474	-6,596718	1,661594	51,846897	-5,016855	-0,267816	51,971809	-9,368186	5,045481
51,818829	-6,183908	1,58927	51,842449	-6,207324	1,609895	51,728981	-6,616342	1,663713	51,849243	-5,015476	-0,2884	51,972305	-9,514283	5,236005
51,822479	-6,17722	1,589605	51,842884	-6,205092	1,60661	51,72868	-6,616012	1,661986	51,851753	-5,049291	-0,216925	51,991402	-9,656438	5,43596
51,820713	-6,171397	1,580869	51,84235	-6,205363	1,603953	51,71682	-6,643712	1,661655	51,861797	-5,087025	-0,173003	51,952557	-9,872142	5,838198
51,823635	-6,165742	1,581252	51,843098	-6,203076	1,601343	51,71524	-6,64484	1,659745	51,873226	-5,132493	-0,074813	51,715012	-10,136357	6,31019
51,821674	-6,159853	1,573158	51,842751	-6,202903	1,599126	51,709091	-6,661705	1,66183	51,895138	-5,17867	0,01382	51,479137	-10,432803	6,730649
51,824268	-6,15521	1,573264	51,843487	-6,200994	1,597188	51,709938	-6,663395	1,663326	51,921333	-5,232041	0,153133	51,473301	-10,77461	7,284778
51,822449	-6,149952	1,566179	51,842228	-6,205085	1,596437	51,696384	-6,684855	1,660395	51,95974	-5,288069	0,280604	51,265285	-11,224994	8,633777
51,824299	-6,146443	1,566297	51,841221	-6,205075	1,594087	51,694798	-6,686448	1,65932	52,004169	-5,351478	0,465737	51,267353	-11,995811	11,306501
51,822815	-6,142116	1,560651	51,83987	-6,209493	1,593947	51,692154	-6,693378	1,660448	51,995232	-5,395632	0,561406	51,289314	-12,91997	14,595922
51,823959	-6,139845	1,560652	51,839466	-6,209109	1,592438	51,690952	-6,695005	1,6612	51,967281	-5,444788	0,720957	51,437626	-14,11658	17,960337
