X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
-47,14922	-4,946488	-0,776645	-47,129074	-4,993315	-0,757554	-47,292595	-5,649016	0,099291	-47,011429	-4,010832	-2,044187	-47,7164	-9,198131	7,713775
-47,147369	-4,946023	-0,778019	-47,130371	-4,9995	-0,750839	-47,294407	-5,656165	0,108698	-46,969196	-4,092804	-1,774004	-47,712475	-9,752773	10,767224
-47,149414	-4,957314	-0,767906	-47,131878	-5,004646	-0,744915	-47,297085	-5,659292	0,114348	-46,979565	-4,211847	-1,655923	-47,696339	-10,879777	14,51605
-47,148273	-4,956788	-0,768798	-47,132507	-5,009811	-0,739736	-47,298267	-5,659192	0,115138	-47,007313	-4,31916	-1,535482	-47,550522	-12,241828	18,360302
-47,149921	-4,971547	-0,755096	-47,133957	-5,014078	-0,734528	-47,301941	-5,662118	0,122217	-47,043701	-4,40398	-1,426021	-47,196918	-13,526929	22,027687
-47,147709	-4,971585	-0,757129	-47,136486	-5,021229	-0,725399	-47,300076	-5,664455	0,123238	-47,096066	-4,481832	-1,299826	-46,883656	-14,441625	25,220819
-47,148514	-4,985182	-0,744718	-47,13892	-5,02754	-0,717161	-47,304302	-5,669237	0,133161	-47,142498	-4,537686	-1,190477	-46,602837	-14,919205	27,841902
-47,146553	-4,985296	-0,74631	-47,141476	-5,034123	-0,708426	-47,301403	-5,675207	0,137282	-47,146908	-4,575556	-1,142405	-46,593529	-15,173576	29,157454
-47,146633	-4,997199	-0,736265	-47,143742	-5,039855	-0,700891	-47,307171	-5,681254	0,150557	-47,146919	-4,604024	-1,10877	-46,835285	-15,427804	29,856855
-47,144749	-4,997493	-0,737645	-47,147049	-5,048096	-0,689859	-47,303429	-5,689232	0,155757	-47,146603	-4,632644	-1,07623	-47,149307	-15,473845	29,702988
-47,14436	-5,007868	-0,729554	-47,150188	-5,056444	-0,679063	-47,309769	-5,69777	0,172575	-47,143032	-4,655784	-1,0531	-47,447578	-15,371414	28,960112
-47,141514	-5,008562	-0,731643	-47,153507	-5,064124	-0,668488	-47,300247	-5,708022	0,173186	-47,142273	-4,675027	-1,030598	-47,64534	-15,191666	28,120325
-47,14082	-5,021811	-0,721699	-47,156429	-5,073024	-0,657559	-47,312733	-5,724736	0,207091	-47,15123	-4,705731	-0,987576	-47,759808	-14,978167	27,259672
-47,142601	-5,021301	-0,719731	-47,159275	-5,079315	-0,648712	-47,303207	-5,73315	0,205777	-47,153862	-4,725241	-0,962666	-47,802601	-14,715259	26,415508
-47,141418	-5,037552	-0,707553	-47,162884	-5,089768	-0,63568	-47,31506	-5,750593	0,239508	-47,155106	-4,763991	-0,923256	-47,778221	-14,404675	25,64241
-47,14333	-5,037316	-0,705295	-47,166382	-5,0978	-0,624641	-47,305706	-5,758601	0,237859	-47,15633	-4,78296	-0,901642	-47,72298	-14,057083	24,936708
-47,14444	-5,053597	-0,690075	-47,169407	-5,108499	-0,612151	-47,320877	-5,777862	0,277765	-47,158165	-4,817924	-0,866091	-47,645599	-13,707557	24,293446
-47,141911	-5,073108	-0,676233	-47,171894	-5,115233	-0,603385	-47,31192	-5,788823	0,280012	-47,157982	-4,832492	-0,851397	-47,592442	-13,379152	23,683342
-47,14502	-5,072823	-0,672724	-47,174751	-5,123782	-0,592979	-47,320896	-5,811208	0,321208	-47,165165	-4,861444	-0,816229	-47,547306	-13,060038	23,116152
-47,14238	-5,090084	-0,660816	-47,178459	-5,131816	-0,582103	-47,304264	-5,832995	0,331281	-47,165051	-4,875098	-0,803186	-47,524509	-12,76095	22,589285
-47,146095	-5,089764	-0,656659	-47,181675	-5,142114	-0,569726	-47,299236	-5,853977	0,352236	-47,171852	-4,902215	-0,771253	-47,508942	-12,473558	22,102818
-47,143379	-5,105097	-0,646368	-47,184368	-5,14919	-0,560784	-47,288795	-5,875038	0,367295	-47,170582	-4,917453	-0,759072	-47,508938	-12,206993	21,646057
-47,147732	-5,104743	-0,641617	-47,187172	-5,156858	-0,551066	-47,268066	-5,895674	0,369199	-47,171581	-4,951756	-0,729771	-47,500576	-11,950537	21,223818
-47,14423	-5,122067	-0,630387	-47,190544	-5,165037	-0,540136	-47,264591	-5,914998	0,390155	-47,168098	-4,965125	-0,721896	-47,487041	-11,709201	20,826885
-47,148705	-5,121829	-0,625469	-47,193707	-5,174747	-0,528376	-47,242085	-5,937349	0,392434	-47,167988	-4,994232	-0,698536	-47,432846	-11,469889	20,459082
-47,145329	-5,136905	-0,616011	-47,195938	-5,181708	-0,519774	-47,242401	-5,956869	0,418294	-47,164326	-5,006087	-0,69251	-47,379551	-11,254263	20,140398
-47,150059	-5,136737	-0,610823	-47,198967	-5,188966	-0,510317	-47,224945	-5,978932	0,42645	-47,165592	-5,036906	-0,666962	-47,305363	-11,057918	19,879774
-47,146751	-5,149956	-0,602794	-47,200073	-5,194366	-0,504395	-47,224258	-5,997395	0,449846	-47,162769	-5,044466	-0,663776	-47,255428	-10,894536	19,651621
-47,152172	-5,149735	-0,596969	-47,203617	-5,204402	-0,492137	-47,210987	-6,018362	0,461661	-47,164337	-5,070388	-0,642155	-47,209084	-10,748894	19,451826
-47,148228	-5,164031	-0,588671	-47,204617	-5,211558	-0,484783	-47,210575	-6,033824	0,481585	-47,162151	-5,075951	-0,640029	-47,196148	-10,631194	19,273611
-47,153599	-5,163923	-0,58289	-47,207752	-5,219567	-0,47473	-47,192852	-6,052345	0,484923	-47,161743	-5,099376	-0,622694	-47,183392	-10,524438	19,114292
-47,14991	-5,176013	-0,576109	-47,208145	-5,22431	-0,47011	-47,1945	-6,065429	0,504061	-47,160179	-5,100993	-0,623139	-47,194168	-10,441259	18,972824
-47,155331	-5,176007	-0,570273	-47,210754	-5,232003	-0,461018	-47,172638	-6,086322	0,505788	-47,159748	-5,119627	-0,609654	-47,198364	-10,367339	18,849279
-47,151905	-5,186211	-0,564792	-47,212418	-5,236545	-0,454896	-47,177887	-6,099474	0,529376	-47,158951	-5,119542	-0,610516	-47,214676	-10,315352	18,743679
-47,153915	-5,197611	-0,552728	-47,215466	-5,245734	-0,44419	-47,157455	-6,120584	0,533247	-47,160442	-5,141564	-0,592641	-47,222481	-10,271914	18,655365
-47,159557	-5,197693	-0,546657	-47,216328	-5,248674	-0,440372	-47,165325	-6,132527	0,558751	-47,159027	-5,140562	-0,593739	-47,238991	-10,247182	18,579912
-47,155979	-5,20725	-0,542148	-47,218929	-5,256217	-0,431544	-47,144081	-6,155252	0,563257	-47,165173	-5,158516	-0,572989	-47,244877	-10,227149	18,518843
-47,161346	-5,207397	-0,536332	-47,220356	-5,260745	-0,42573	-47,153355	-6,167058	0,590334	-47,164459	-5,156323	-0,574571	-47,259609	-10,222776	18,465143
-47,158146	-5,21533	-0,532789	-47,223415	-5,269396	-0,415412	-47,136452	-6,185075	0,594253	-47,167213	-5,157766	-0,570147	-47,263542	-10,219259	18,422768
-47,163239	-5,215546	-0,527226	-47,223461	-5,272627	-0,412149	-47,145538	-6,194636	0,618532	-47,166355	-5,155123	-0,572087	-47,278111	-10,227769	18,384756
-47,159508	-5,224802	-0,523485	-47,225903	-5,27997	-0,403623	-47,124073	-6,218025	0,62386	-47,166767	-5,152157	-0,574619	-47,280506	-10,234774	18,356449
-47,165104	-5,224936	-0,517336	-47,226021	-5,281518	-0,401626	-47,132778	-6,226755	0,6464	-47,165207	-5,149967	-0,577006	-47,295635	-10,24938	18,327993
-47,161827	-5,232513	-0,51438	-47,228722	-5,287275	-0,394014	-47,114719	-6,244944	0,649161	-47,165043	-5,146744	-0,580602	-47,291119	-10,258157	18,308361
-47,166927	-5,232637	-0,508747	-47,227043	-5,290112	-0,393017	-47,122917	-6,251449	0,668288	-47,162815	-5,145117	-0,583492	-47,300804	-10,272175	18,286631
-47,164093	-5,23887	-0,506458	-47,229279	-5,294375	-0,387055	-47,103161	-6,272422	0,672695	-47,163479	-5,143616	-0,584305	-47,29047	-10,277892	18,272305
-47,168736	-5,238983	-0,501307	-47,228104	-5,29559	-0,386772	-47,111111	-6,279153	0,691882	-47,161106	-5,142031	-0,587375	-47,295612	-10,28762	18,255098
-47,165333	-5,246805	-0,498684	-47,23	-5,298114	-0,382604	-47,0924	-6,298911	0,696046	-47,160645	-5,138545	-0,591356	-47,281807	-10,289193	18,243738
-47,170475	-5,246801	-0,49293	-47,229034	-5,300535	-0,381113	-47,104294	-6,304987	0,718885	-47,157925	-5,137458	-0,59464	-47,284668	-10,295125	18,229174
-47,167526	-5,253233	-0,490802	-47,231316	-5,306262	-0,373851	-47,082916	-6,326401	0,722859	-47,158585	-5,137397	-0,594487	-47,271225	-10,294698	18,219721
-47,172028	-5,253139	-0,485759	-47,230797	-5,307509	-0,372681	-47,088638	-6,332911	0,739611	-47,155838	-5,136343	-0,59775	-47,273792	-10,29828	18,205902
-47,169456	-5,258479	-0,484023	-47,232605	-5,312402	-0,36672	-47,039871	-6,381302	0,747188	-47,157574	-5,140851	-0,592653	-47,259888	-10,296049	18,19709
-47,173317	-5,258279	-0,479587	-47,232662	-5,31569	-0,363032	-47,054649	-6,39208	0,779499	-47,154873	-5,140028	-0,595998	-47,263306	-10,297909	18,183905
-47,170166	-5,265687	-0,477338	-47,235832	-5,330085	-0,344812	-47,023201	-6,422227	0,782169	-47,156242	-5,143347	-0,592178	-47,249172	-10,293463	18,175735
-47,174355	-5,265198	-0,472114	-47,23748	-5,341266	-0,33097	-47,03664	-6,426559	0,803909	-47,153496	-5,14273	-0,59506	-47,252148	-10,29302	18,162794
