X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
3,333263	-75,666328	56,588188	3,462558	-75,518898	56,891907	3,856792	-75,391075	57,797802	3,227037	-67,319092	62,512085	4,145242	-78,302765	56,535572
3,353595	-75,558128	56,734753	3,467952	-75,366074	57,073795	3,856111	-75,271011	57,951958	3,23875	-67,305214	62,51075	4,115693	-78,690857	56,292526
3,362165	-75,43148	56,880127	3,475454	-75,211357	57,255192	3,861753	-75,150345	58,100342	3,225489	-67,320511	62,512917	4,009342	-79,180992	56,022552
3,385584	-75,324532	57,025818	3,480675	-75,063156	57,433651	3,859568	-75,043312	58,23978	3,237944	-67,305878	62,511089	3,894364	-79,668999	55,726192
3,39355	-75,199989	57,168568	3,490013	-74,914864	57,60939	3,867922	-74,936729	58,372005	3,224617	-67,322006	62,513046	3,80569	-80,204109	55,397057
3,414723	-75,094193	57,309242	3,495852	-74,77079	57,77956	3,867554	-74,850327	58,493515	3,236296	-67,307365	62,51125	3,822512	-80,840767	55,01516
3,42093	-74,97628	57,445129	3,503612	-74,62928	57,944553	3,876901	-74,760246	58,606663	3,22604	-67,317444	62,513016	3,894456	-81,47802	54,576763
3,441402	-74,87278	57,576981	3,507422	-74,495087	58,101521	3,883969	-74,706131	58,706978	3,236711	-67,306572	62,511169	3,937299	-82,203575	54,065937
3,447208	-74,763	57,702644	3,516478	-74,367439	58,252476	3,896262	-74,63826	58,796761	3,228204	-67,318153	62,51239	3,740394	-82,998978	53,451252
3,471273	-74,668594	57,824085	3,521736	-74,247475	58,39444	3,911086	-74,617691	58,871883	3,238926	-67,30545	62,511375	3,750327	-83,797607	52,771458
3,476962	-74,567741	57,938744	3,528996	-74,132607	58,528236	3,92352	-74,572914	58,935097	3,226336	-67,318161	62,5135	3,705785	-84,51609	52,057056
3,499046	-74,481346	58,047779	3,535266	-74,027245	58,651798	3,92593	-74,557259	58,985657	3,238414	-67,305679	62,511459	3,639807	-85,200905	51,305614
3,503754	-74,391823	58,149075	3,543168	-73,93055	58,766956	3,932171	-74,525978	59,026047	3,240519	-67,40686	62,515736	3,586614	-85,892769	50,5126
3,523717	-74,315567	58,243706	3,549011	-73,844803	58,871433	3,964604	-74,562363	59,052319	3,288108	-67,526619	62,50713	3,437957	-86,797035	49,608047
3,527467	-74,239006	58,329956	3,556578	-73,764923	58,966087	3,973728	-74,558228	59,065536	3,330591	-67,715233	62,486504	3,203609	-87,931229	48,518089
3,549617	-74,176704	58,409954	3,561372	-73,695663	59,049461	3,966473	-74,573418	59,068684	3,413974	-67,939606	62,444157	3,195501	-89,271912	47,22744
3,553032	-74,112625	58,481804	3,566858	-73,633194	59,122574	3,966505	-74,578705	59,065243	3,493958	-68,237633	62,378448	3,414233	-90,809525	45,646774
3,572935	-74,062439	58,546734	3,572423	-73,588013	59,185253	4,013251	-74,652428	59,050571	3,611523	-68,576187	62,280354	3,199658	-92,76767	43,667931
3,575249	-74,011902	58,603241	3,580247	-73,547539	59,23761	4,021757	-74,681641	59,025162	3,724729	-68,998337	62,151051	3,140348	-95,543854	41,146431
3,592929	-73,975029	58,6525	3,582421	-73,519157	59,278717	4,019351	-74,715874	58,99411	3,780903	-69,347458	61,981663	3,436124	-98,590324	38,208786
3,5942	-73,938515	58,693268	3,589302	-73,495827	59,310066	4,01722	-74,745956	58,960308	3,770256	-69,749168	61,785664	3,785564	-101,437675	35,025288
3,613236	-73,920158	58,727718	3,590177	-73,48481	59,330738	4,011857	-74,788788	58,921982	3,736217	-70,158134	61,556564	4,032485	-103,794998	31,837805
3,607085	-73,902542	58,753281	3,597985	-73,481567	59,342979	4,010759	-74,827843	58,882397	3,636853	-70,637718	61,298771	4,260354	-105,205048	29,133068
3,62524	-73,896492	58,772266	3,598942	-73,490471	59,345398	3,998894	-74,883888	58,8386	3,548032	-71,101242	61,009022	4,337939	-105,877663	27,06027
3,61982	-73,891518	58,782864	3,605914	-73,502617	59,339741	4,000463	-74,932388	58,793709	3,518016	-71,494484	60,695591	4,105118	-106,199295	25,554625
3,635853	-73,896416	58,78727	3,606666	-73,525536	59,325123	3,990613	-74,993668	58,745281	3,502654	-71,868019	60,366352	4,001553	-106,292007	24,534536
3,630748	-73,903473	58,784027	3,615245	-73,552803	59,304386	3,992873	-75,047935	58,696976	3,489025	-72,243057	60,029251	3,818236	-106,241875	24,003063
3,644745	-73,918495	58,775127	3,617615	-73,591194	59,276196	3,981677	-75,117905	58,645195	3,474448	-72,609657	59,685326	3,647571	-106,105751	23,902382
3,637605	-73,937569	58,760269	3,625372	-73,62941	59,242455	3,974423	-75,185036	58,592941	3,457619	-72,969734	59,339085	3,511913	-105,943474	24,112806
3,652472	-73,965515	58,741081	3,628754	-73,678215	59,202343	3,961949	-75,280037	58,5336	3,455976	-73,337196	58,992817	3,413713	-105,7696	24,576101
3,650654	-73,987907	58,716511	3,634823	-73,724602	59,157631	3,954882	-75,350868	58,472366	3,443706	-73,684303	58,648979	3,293771	-105,582275	25,248932
3,664671	-74,029411	58,688404	3,63834	-73,783806	59,108597	3,943024	-75,452744	58,405079	3,446856	-74,04464	58,310581	3,134391	-105,38121	26,078753
3,663527	-74,059166	58,655148	3,646412	-73,83802	59,056652	3,937028	-75,527275	58,337162	3,439152	-74,368973	57,978729	2,933623	-105,153267	27,036213
3,672842	-74,146751	58,578419	3,648647	-73,903725	59,00124	3,929775	-75,634827	58,263878	3,445729	-74,698868	57,656677	2,738495	-104,899864	28,090944
